"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,498,4,0,0
2.0,496,6,0,0
3.0,494,8,0,0
4.0,494,8,0,0
5.0,494,8,0,0
6.0,494,8,0,0
7.0,494,8,0,0
8.0,492,10,0,0
9.0,492,10,0,0
10.0,491,11,0,0
11.0,489,13,0,0
12.0,489,13,0,0
13.0,488,14,0,0
14.0,486,16,0,0
15.0,484,18,0,0
16.0,481,21,0,0
17.0,481,21,0,0
18.0,481,21,0,0
19.0,480,22,0,0
20.0,479,23,0,0
21.0,479,23,0,0
22.0,477,25,0,0
23.0,474,28,0,0
24.0,471,31,0,0
25.0,470,32,0,0
26.0,469,33,0,0
27.0,469,33,0,0
28.0,467,35,0,0
29.0,466,36,0,0
30.0,465,37,0,0
31.0,463,39,0,0
32.0,462,40,0,0
33.0,458,44,0,0
34.0,456,46,0,0
35.0,454,48,0,0
36.0,454,48,0,0
37.0,453,49,0,0
38.0,451,51,0,0
39.0,450,52,0,0
40.0,448,54,0,0
41.0,447,54,0,1
42.0,445,56,0,1
43.0,442,59,0,1
44.0,440,61,0,1
45.0,436,65,0,1
46.0,431,68,2,1
47.0,427,71,3,1
48.0,424,74,3,1
49.0,422,75,4,1
50.0,420,76,4,2
51.0,417,79,4,2
52.0,414,82,4,2
53.0,410,85,5,2
54.0,406,87,6,3
55.0,400,92,7,3
56.0,398,93,8,3
57.0,395,94,10,3
58.0,392,97,10,3
59.0,386,103,10,3
60.0,383,106,10,3
61.0,381,107,11,3
62.0,376,109,12,5
63.0,372,112,13,5
64.0,371,111,13,7
65.0,364,118,13,7
66.0,360,120,15,7
67.0,357,123,15,7
68.0,352,127,16,7
69.0,348,128,18,8
70.0,343,132,18,9
71.0,341,131,21,9
72.0,338,131,23,10
73.0,330,139,23,10
74.0,327,141,24,10
75.0,321,144,26,11
76.0,317,146,27,12
77.0,309,151,30,12
78.0,306,153,31,12
79.0,298,159,31,14
80.0,291,166,31,14
81.0,288,169,31,14
82.0,285,167,35,15
83.0,276,176,35,15
84.0,269,182,35,16
85.0,259,187,37,19
86.0,253,188,40,21
87.0,247,192,42,21
88.0,236,200,44,22
89.0,224,209,46,23
90.0,213,220,46,23
91.0,206,224,47,25
92.0,201,227,48,26
93.0,199,226,48,29
94.0,195,227,50,30
95.0,189,228,53,32
96.0,187,228,54,33
97.0,177,236,56,33
98.0,171,237,58,36
99.0,162,240,63,37
100.0,162,235,68,37
101.0,159,236,69,38
102.0,157,234,72,39
103.0,153,230,78,41
104.0,145,234,79,44
105.0,140,236,82,44
106.0,137,234,85,46
107.0,130,235,89,48
108.0,128,235,91,48
109.0,127,228,95,52
110.0,125,229,96,52
111.0,122,228,98,54
112.0,122,223,101,56
113.0,121,218,105,58
114.0,119,216,108,59
115.0,118,214,108,62
116.0,115,213,112,62
117.0,114,212,114,62
118.0,114,207,116,65
119.0,112,207,117,66
120.0,112,204,119,67
121.0,111,198,122,71
122.0,110,193,125,74
123.0,108,189,129,76
124.0,108,185,132,77
125.0,108,178,135,81
126.0,108,176,136,82
127.0,108,175,136,83
128.0,107,171,138,86
129.0,106,164,143,89
130.0,105,161,144,92
131.0,104,156,148,94
132.0,102,153,152,95
133.0,101,145,159,97
134.0,99,144,161,98
135.0,99,140,163,100
136.0,99,136,165,102
137.0,99,125,171,107
138.0,99,119,175,109
139.0,99,109,182,112
140.0,98,105,185,114
141.0,98,100,187,117
142.0,98,94,191,119
143.0,97,89,195,121
144.0,97,85,198,122
145.0,97,76,203,126
146.0,96,72,206,128
147.0,96,68,209,129
148.0,95,67,210,130
149.0,95,60,214,133
150.0,95,58,215,134
151.0,95,55,218,134
152.0,95,52,221,134
153.0,95,49,223,135
154.0,95,45,226,136
155.0,95,41,229,137
156.0,95,39,231,137
157.0,95,37,233,137
158.0,95,35,234,138
159.0,95,31,237,139
160.0,95,28,240,139
161.0,95,27,241,139
162.0,94,28,241,139
163.0,94,26,243,139
164.0,94,21,246,141
165.0,94,20,247,141
166.0,93,18,247,144
167.0,93,15,250,144
168.0,93,14,250,145
169.0,93,13,251,145
170.0,92,13,251,146
171.0,92,12,251,147
172.0,92,12,251,147
173.0,92,12,251,147
174.0,91,13,251,147
175.0,91,13,251,147
176.0,91,12,252,147
177.0,91,12,252,147
178.0,91,12,252,147
179.0,91,12,252,147
180.0,91,12,252,147
181.0,91,12,252,147
182.0,91,12,252,147
183.0,91,9,255,147
184.0,90,10,255,147
185.0,89,11,255,147
186.0,89,11,255,147
187.0,89,11,255,147
188.0,88,12,255,147
189.0,88,11,256,147
