"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,499,3,0,0
3.0,499,3,0,0
4.0,499,3,0,0
5.0,499,3,0,0
6.0,499,3,0,0
7.0,499,3,0,0
8.0,499,3,0,0
9.0,499,3,0,0
10.0,498,4,0,0
11.0,498,4,0,0
12.0,498,4,0,0
13.0,496,6,0,0
14.0,495,7,0,0
15.0,494,8,0,0
16.0,494,8,0,0
17.0,494,8,0,0
18.0,493,9,0,0
19.0,493,9,0,0
20.0,493,9,0,0
21.0,492,10,0,0
22.0,492,10,0,0
23.0,491,11,0,0
24.0,490,12,0,0
25.0,489,13,0,0
26.0,489,12,1,0
27.0,489,12,1,0
28.0,488,13,1,0
29.0,488,13,1,0
30.0,488,13,1,0
31.0,488,11,3,0
32.0,488,10,4,0
33.0,488,10,4,0
34.0,488,10,4,0
35.0,488,10,4,0
36.0,488,10,4,0
37.0,488,10,4,0
38.0,488,9,5,0
39.0,488,8,6,0
40.0,488,8,6,0
41.0,488,8,6,0
42.0,488,8,6,0
43.0,488,8,6,0
44.0,488,8,6,0
45.0,488,8,6,0
46.0,488,8,6,0
47.0,488,8,6,0
48.0,488,6,6,2
49.0,488,6,6,2
50.0,488,6,6,2
51.0,488,6,6,2
52.0,488,5,7,2
53.0,488,5,7,2
54.0,488,5,7,2
55.0,488,5,7,2
56.0,488,5,7,2
57.0,488,5,7,2
58.0,488,5,7,2
59.0,488,5,7,2
60.0,488,4,7,3
61.0,488,4,7,3
62.0,488,3,8,3
63.0,488,3,8,3
64.0,488,3,8,3
65.0,488,2,9,3
66.0,488,2,9,3
67.0,488,1,10,3
68.0,488,1,10,3
69.0,488,1,10,3
70.0,488,0,11,3
71.0,488,0,11,3
72.0,488,0,11,3
73.0,488,0,11,3
74.0,488,0,11,3
75.0,488,0,11,3
76.0,488,0,11,3
77.0,488,0,11,3
78.0,488,0,11,3
79.0,488,0,11,3
80.0,488,0,11,3
81.0,488,0,11,3
82.0,488,0,11,3
83.0,488,0,11,3
84.0,488,0,11,3
85.0,488,0,11,3
86.0,488,0,11,3
87.0,488,0,11,3
88.0,488,0,11,3
89.0,488,0,11,3
90.0,488,0,11,3
91.0,488,0,11,3
92.0,488,0,11,3
93.0,488,0,11,3
94.0,488,0,11,3
95.0,488,0,11,3
96.0,488,0,11,3
97.0,488,0,11,3
98.0,488,0,11,3
99.0,488,0,11,3
100.0,488,0,11,3
101.0,488,0,11,3
102.0,488,0,11,3
103.0,488,0,11,3
104.0,488,0,11,3
105.0,488,0,11,3
106.0,488,0,11,3
107.0,488,0,11,3
108.0,488,0,11,3
109.0,488,0,11,3
110.0,488,0,11,3
111.0,488,0,11,3
112.0,488,0,11,3
113.0,488,0,11,3
114.0,488,0,11,3
115.0,488,0,11,3
116.0,488,0,11,3
117.0,488,0,11,3
118.0,488,0,11,3
119.0,488,0,11,3
120.0,488,0,11,3
121.0,488,0,11,3
122.0,488,0,11,3
123.0,488,0,11,3
124.0,488,0,11,3
125.0,488,0,11,3
126.0,488,0,11,3
127.0,488,0,11,3
128.0,488,0,11,3
129.0,488,0,11,3
130.0,488,0,11,3
131.0,488,0,11,3
132.0,488,0,11,3
133.0,488,0,11,3
134.0,488,0,11,3
135.0,488,0,11,3
136.0,488,0,11,3
137.0,488,0,11,3
138.0,488,0,11,3
139.0,488,0,11,3
140.0,488,0,11,3
141.0,488,0,11,3
142.0,488,0,11,3
143.0,488,0,11,3
144.0,488,0,11,3
145.0,488,0,11,3
146.0,488,0,11,3
147.0,488,0,11,3
148.0,488,0,11,3
149.0,488,0,11,3
150.0,488,0,11,3
151.0,488,0,11,3
152.0,488,0,11,3
153.0,488,0,11,3
154.0,488,0,11,3
155.0,488,0,11,3
156.0,488,0,11,3
157.0,488,0,11,3
158.0,488,0,11,3
159.0,488,0,11,3
160.0,488,0,11,3
161.0,488,0,11,3
162.0,488,0,11,3
163.0,488,0,11,3
164.0,488,0,11,3
165.0,488,0,11,3
166.0,488,0,11,3
167.0,488,0,11,3
168.0,488,0,11,3
169.0,488,0,11,3
170.0,488,0,11,3
171.0,488,0,11,3
172.0,488,0,11,3
173.0,488,0,11,3
174.0,488,0,11,3
175.0,488,0,11,3
176.0,488,0,11,3
177.0,488,0,11,3
178.0,488,0,11,3
179.0,488,0,11,3
180.0,488,0,11,3
181.0,488,0,11,3
182.0,488,0,11,3
183.0,488,0,11,3
184.0,488,0,11,3
185.0,488,0,11,3
186.0,488,0,11,3
187.0,488,0,11,3
188.0,488,0,11,3
189.0,488,0,11,3
190.0,488,0,11,3
191.0,488,0,11,3
192.0,488,0,11,3
193.0,488,0,11,3
194.0,488,0,11,3
195.0,488,0,11,3
196.0,488,0,11,3
197.0,488,0,11,3
198.0,488,0,11,3
199.0,488,0,11,3
200.0,488,0,11,3
201.0,488,0,11,3
202.0,488,0,11,3
203.0,488,0,11,3
204.0,488,0,11,3
205.0,488,0,11,3
206.0,488,0,11,3
207.0,488,0,11,3
208.0,488,0,11,3
209.0,488,0,11,3
210.0,488,0,11,3
211.0,488,0,11,3
212.0,488,0,11,3
213.0,488,0,11,3
214.0,488,0,11,3
215.0,488,0,11,3
216.0,488,0,11,3
217.0,488,0,11,3
218.0,488,0,11,3
219.0,488,0,11,3
220.0,488,0,11,3
221.0,488,0,11,3
222.0,488,0,11,3
223.0,488,0,11,3
224.0,488,0,11,3
225.0,488,0,11,3
226.0,488,0,11,3
227.0,488,0,11,3
228.0,488,0,11,3
229.0,488,0,11,3
230.0,488,0,11,3
231.0,488,0,11,3
232.0,488,0,11,3
233.0,488,0,11,3
234.0,488,0,11,3
235.0,488,0,11,3
236.0,488,0,11,3
237.0,488,0,11,3
238.0,488,0,11,3
239.0,488,0,11,3
240.0,488,0,11,3
241.0,488,0,11,3
242.0,488,0,11,3
243.0,488,0,11,3
244.0,488,0,11,3
245.0,488,0,11,3
246.0,488,0,11,3
247.0,488,0,11,3
248.0,488,0,11,3
249.0,488,0,11,3
250.0,488,0,11,3
251.0,488,0,11,3
252.0,488,0,11,3
253.0,488,0,11,3
254.0,488,0,11,3
255.0,488,0,11,3
256.0,488,0,11,3
257.0,488,0,11,3
258.0,488,0,11,3
259.0,488,0,11,3
260.0,488,0,11,3
261.0,488,0,11,3
262.0,488,0,11,3
263.0,488,0,11,3
264.0,488,0,11,3
265.0,488,0,11,3
266.0,488,0,11,3
267.0,488,0,11,3
268.0,488,0,11,3
269.0,488,0,11,3
270.0,488,0,11,3
271.0,488,0,11,3
272.0,488,0,11,3
273.0,488,0,11,3
274.0,488,0,11,3
275.0,488,0,11,3
276.0,488,0,11,3
277.0,488,0,11,3
278.0,488,0,11,3
279.0,488,0,11,3
280.0,488,0,11,3
281.0,488,0,11,3
282.0,488,0,11,3
283.0,488,0,11,3
284.0,488,0,11,3
285.0,488,0,11,3
286.0,488,0,11,3
287.0,488,0,11,3
288.0,488,0,11,3
289.0,488,0,11,3
290.0,488,0,11,3
291.0,488,0,11,3
292.0,488,0,11,3
293.0,488,0,11,3
294.0,488,0,11,3
295.0,488,0,11,3
296.0,488,0,11,3
297.0,488,0,11,3
298.0,488,0,11,3
299.0,488,0,11,3
300.0,488,0,11,3
301.0,488,0,11,3
302.0,488,0,11,3
303.0,488,0,11,3
304.0,488,0,11,3
305.0,488,0,11,3
306.0,488,0,11,3
307.0,488,0,11,3
308.0,488,0,11,3
309.0,488,0,11,3
310.0,488,0,11,3
311.0,488,0,11,3
312.0,488,0,11,3
313.0,488,0,11,3
314.0,488,0,11,3
315.0,488,0,11,3
316.0,488,0,11,3
317.0,488,0,11,3
318.0,488,0,11,3
319.0,488,0,11,3
320.0,488,0,11,3
321.0,488,0,11,3
322.0,488,0,11,3
323.0,488,0,11,3
324.0,488,0,11,3
325.0,488,0,11,3
326.0,488,0,11,3
327.0,488,0,11,3
328.0,488,0,11,3
329.0,488,0,11,3
330.0,488,0,11,3
331.0,488,0,11,3
332.0,488,0,11,3
333.0,488,0,11,3
334.0,488,0,11,3
335.0,488,0,11,3
336.0,488,0,11,3
337.0,488,0,11,3
338.0,488,0,11,3
339.0,488,0,11,3
340.0,488,0,11,3
341.0,488,0,11,3
342.0,488,0,11,3
343.0,488,0,11,3
344.0,488,0,11,3
345.0,488,0,11,3
346.0,488,0,11,3
347.0,488,0,11,3
348.0,488,0,11,3
349.0,488,0,11,3
350.0,488,0,11,3
351.0,488,0,11,3
352.0,488,0,11,3
353.0,488,0,11,3
354.0,488,0,11,3
355.0,488,0,11,3
356.0,488,0,11,3
357.0,488,0,11,3
358.0,488,0,11,3
359.0,488,0,11,3
360.0,488,0,11,3
361.0,488,0,11,3
362.0,488,0,11,3
363.0,488,0,11,3
364.0,488,0,11,3
365.0,488,0,11,3
366.0,488,0,11,3
367.0,488,0,11,3
368.0,488,0,11,3
369.0,488,0,11,3
370.0,488,0,11,3
371.0,488,0,11,3
372.0,488,0,11,3
373.0,488,0,11,3
374.0,488,0,11,3
375.0,488,0,11,3
376.0,488,0,11,3
377.0,488,0,11,3
378.0,488,0,11,3
379.0,488,0,11,3
380.0,488,0,11,3
381.0,488,0,11,3
382.0,488,0,11,3
383.0,488,0,11,3
384.0,488,0,11,3
385.0,488,0,11,3
386.0,488,0,11,3
387.0,488,0,11,3
388.0,488,0,11,3
389.0,488,0,11,3
390.0,488,0,11,3
391.0,488,0,11,3
392.0,488,0,11,3
393.0,488,0,11,3
394.0,488,0,11,3
395.0,488,0,11,3
396.0,488,0,11,3
397.0,488,0,11,3
398.0,488,0,11,3
399.0,488,0,11,3
400.0,488,0,11,3
