Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.4,499.6,0.0,0.5
0.0,3.2,498.8,0.0,1.0
0.0,3.4,498.6,0.0,1.5
0.0,3.4,498.6,0.0,2.0
0.0,4.0,498.0,0.0,2.5
0.0,4.2,497.8,0.0,3.0
0.0,4.6,497.4,0.0,3.5
0.0,5.2,496.8,0.0,4.0
0.0,5.6,496.4,0.0,4.5
0.0,6.4,495.6,0.0,5.0
0.0,6.8,495.2,0.0,5.5
0.0,7.6,494.4,0.0,6.0
0.0,8.6,493.4,0.0,6.5
0.0,8.4,493.2,0.4,7.0
0.0,9.0,492.4,0.6,7.5
0.0,9.4,491.8,0.8,8.0
0.0,10.0,491.2,0.8,8.5
0.0,10.2,490.8,1.0,9.0
0.0,10.8,490.0,1.2,9.5
0.0,11.2,489.6,1.2,10.0
0.0,11.8,488.8,1.4,10.5
0.0,12.2,488.4,1.4,11.0
0.0,13.0,487.6,1.4,11.5
0.0,14.6,486.0,1.4,12.0
0.0,15.6,485.0,1.4,12.5
0.0,16.0,484.6,1.4,13.0
0.0,16.6,484.0,1.4,13.5
0.0,18.4,482.2,1.4,14.0
0.0,18.6,482.0,1.4,14.5
0.0,19.6,481.0,1.4,15.0
0.0,21.2,479.4,1.4,15.5
0.0,22.8,477.8,1.4,16.0
0.0,23.6,477.0,1.4,16.5
0.0,25.4,475.0,1.6,17.0
0.0,27.0,473.2,1.8,17.5
0.0,27.8,472.4,1.8,18.0
0.0,28.8,471.4,1.8,18.5
0.2,30.4,469.6,1.8,19.0
0.2,32.2,467.8,1.8,19.5
0.2,32.2,467.2,2.4,20.0
0.2,33.0,466.2,2.6,20.5
0.2,34.0,465.2,2.6,21.0
0.2,34.8,464.4,2.6,21.5
0.2,35.8,463.2,2.8,22.0
0.2,37.8,461.2,2.8,22.5
0.6,38.8,459.6,3.0,23.0
0.6,39.6,458.6,3.2,23.5
0.6,40.6,457.4,3.4,24.0
0.8,42.4,455.4,3.4,24.5
0.8,44.2,453.6,3.4,25.0
1.0,44.8,452.8,3.4,25.5
1.0,46.2,451.2,3.6,26.0
1.2,47.6,449.6,3.6,26.5
1.6,49.0,447.8,3.6,27.0
1.8,50.2,446.4,3.6,27.5
1.8,51.4,445.2,3.6,28.0
1.8,52.4,444.2,3.6,28.5
2.2,54.8,441.4,3.6,29.0
2.4,56.6,439.4,3.6,29.5
2.8,58.4,437.2,3.6,30.0
3.2,59.2,435.8,3.8,30.5
3.2,60.6,434.4,3.8,31.0
3.2,62.6,432.4,3.8,31.5
3.4,64.8,429.6,4.2,32.0
3.6,66.2,427.6,4.6,32.5
3.6,69.0,424.6,4.8,33.0
3.6,70.6,422.2,5.6,33.5
4.4,73.8,417.6,6.2,34.0
4.4,75.2,415.2,7.2,34.5
4.6,77.0,412.8,7.6,35.0
5.2,79.2,409.4,8.2,35.5
6.0,80.8,406.8,8.4,36.0
6.4,84.6,402.2,8.8,36.5
6.6,86.6,399.6,9.2,37.0
6.8,90.2,395.6,9.4,37.5
6.8,92.4,392.6,10.2,38.0
7.0,96.0,388.2,10.8,38.5
8.0,96.0,386.4,11.6,39.0
8.4,98.4,383.2,12.0,39.5
9.2,99.8,380.0,13.0,40.0
9.6,101.6,377.0,13.8,40.5
10.6,102.0,375.0,14.4,41.0
11.0,103.8,371.6,15.6,41.5
11.8,104.8,369.0,16.4,42.0
12.6,105.4,366.2,17.8,42.5
13.0,108.4,362.4,18.2,43.0
13.8,111.0,358.2,19.0,43.5
14.8,111.4,355.2,20.6,44.0
15.6,114.0,350.8,21.6,44.5
16.0,115.8,346.6,23.6,45.0
16.4,119.6,341.4,24.6,45.5
16.6,121.0,339.0,25.4,46.0
17.6,121.8,336.2,26.4,46.5
17.6,124.8,332.6,27.0,47.0
18.6,126.8,328.4,28.2,47.5
19.0,128.6,325.6,28.8,48.0
20.0,130.0,321.8,30.2,48.5
21.0,132.8,316.6,31.6,49.0
22.0,135.2,312.0,32.8,49.5
22.4,139.2,306.8,33.6,50.0
23.0,142.6,302.4,34.0,50.5
23.8,144.6,297.8,35.8,51.0
24.6,148.0,292.6,36.8,51.5
25.2,151.2,288.6,37.0,52.0
26.4,154.4,283.2,38.0,52.5
27.2,157.0,278.2,39.6,53.0
28.2,157.4,275.6,40.8,53.5
29.2,158.8,272.6,41.4,54.0
30.4,160.8,268.2,42.6,54.5
31.2,162.4,264.8,43.6,55.0
32.2,165.2,259.2,45.4,55.5
33.4,165.8,256.2,46.6,56.0
35.0,166.8,252.0,48.2,56.5
36.4,167.8,248.2,49.6,57.0
37.2,169.4,245.2,50.2,57.5
37.8,171.2,241.4,51.6,58.0
39.4,174.2,235.8,52.6,58.5
40.0,177.6,231.2,53.2,59.0
41.0,180.2,226.0,54.8,59.5
41.4,182.4,222.2,56.0,60.0
43.2,184.8,217.8,56.2,60.5
44.0,185.6,214.0,58.4,61.0
45.4,187.0,209.2,60.4,61.5
47.0,188.8,205.2,61.0,62.0
48.6,189.8,201.4,62.2,62.5
49.8,192.6,196.6,63.0,63.0
52.2,193.2,192.8,63.8,63.5
53.4,194.6,188.4,65.6,64.0
54.8,194.6,185.0,67.6,64.5
56.4,197.0,180.0,68.6,65.0
58.0,197.6,175.8,70.6,65.5
59.4,198.4,171.2,73.0,66.0
61.2,198.2,167.4,75.2,66.5
62.2,199.6,162.8,77.4,67.0
63.6,201.6,158.2,78.6,67.5
65.2,202.6,154.2,80.0,68.0
67.2,201.4,151.2,82.2,68.5
69.4,202.4,146.6,83.6,69.0
70.6,203.4,143.0,85.0,69.5
71.8,202.0,140.0,88.2,70.0
73.0,203.0,136.8,89.2,70.5
74.2,204.0,133.6,90.2,71.0
75.6,204.4,130.2,91.8,71.5
76.6,204.0,127.4,94.0,72.0
77.6,205.0,123.8,95.6,72.5
79.0,205.6,121.0,96.4,73.0
81.2,205.6,116.2,99.0,73.5
