"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,499,2,1,0
2.0,498,3,1,0
3.0,496,5,1,0
4.0,495,6,1,0
5.0,495,6,1,0
6.0,494,7,1,0
7.0,493,8,1,0
8.0,493,8,1,0
9.0,493,8,1,0
10.0,493,8,1,0
11.0,492,9,1,0
12.0,491,10,1,0
13.0,491,10,1,0
14.0,491,10,1,0
15.0,491,10,1,0
16.0,491,10,1,0
17.0,491,10,1,0
18.0,491,10,1,0
19.0,491,10,1,0
20.0,491,10,1,0
21.0,491,10,1,0
22.0,491,10,1,0
23.0,491,10,1,0
24.0,491,10,1,0
25.0,491,10,1,0
26.0,491,10,1,0
27.0,491,10,1,0
28.0,491,10,1,0
29.0,491,10,1,0
30.0,491,10,1,0
31.0,491,10,1,0
32.0,491,10,1,0
33.0,491,10,1,0
34.0,491,10,1,0
35.0,491,10,1,0
36.0,491,10,1,0
37.0,491,10,1,0
38.0,491,10,1,0
39.0,491,9,1,1
40.0,491,8,1,2
41.0,491,8,1,2
42.0,491,8,1,2
43.0,491,8,1,2
44.0,491,7,2,2
45.0,491,6,3,2
46.0,491,4,5,2
47.0,491,4,5,2
48.0,491,4,5,2
49.0,491,3,6,2
50.0,491,2,7,2
51.0,491,2,7,2
52.0,491,2,7,2
53.0,491,1,8,2
54.0,491,1,8,2
55.0,491,0,9,2
56.0,491,0,9,2
57.0,491,0,9,2
58.0,491,0,9,2
59.0,491,0,9,2
60.0,491,0,9,2
61.0,491,0,9,2
62.0,491,0,9,2
63.0,491,0,9,2
64.0,491,0,9,2
65.0,491,0,9,2
66.0,491,0,9,2
67.0,491,0,9,2
68.0,491,0,9,2
69.0,491,0,9,2
70.0,491,0,9,2
71.0,491,0,9,2
72.0,491,0,9,2
73.0,491,0,9,2
74.0,491,0,9,2
75.0,491,0,9,2
76.0,491,0,9,2
77.0,491,0,9,2
78.0,491,0,9,2
79.0,491,0,9,2
80.0,491,0,9,2
81.0,491,0,9,2
82.0,491,0,9,2
83.0,491,0,9,2
84.0,491,0,9,2
85.0,491,0,9,2
86.0,491,0,9,2
87.0,491,0,9,2
88.0,491,0,9,2
89.0,491,0,9,2
90.0,491,0,9,2
91.0,491,0,9,2
92.0,491,0,9,2
93.0,491,0,9,2
94.0,491,0,9,2
95.0,491,0,9,2
96.0,491,0,9,2
97.0,491,0,9,2
98.0,491,0,9,2
99.0,491,0,9,2
100.0,491,0,9,2
101.0,491,0,9,2
102.0,491,0,9,2
103.0,491,0,9,2
104.0,491,0,9,2
105.0,491,0,9,2
106.0,491,0,9,2
107.0,491,0,9,2
108.0,491,0,9,2
109.0,491,0,9,2
110.0,491,0,9,2
111.0,491,0,9,2
112.0,491,0,9,2
113.0,491,0,9,2
114.0,491,0,9,2
115.0,491,0,9,2
116.0,491,0,9,2
117.0,491,0,9,2
118.0,491,0,9,2
119.0,491,0,9,2
120.0,491,0,9,2
121.0,491,0,9,2
122.0,491,0,9,2
123.0,491,0,9,2
124.0,491,0,9,2
125.0,491,0,9,2
126.0,491,0,9,2
127.0,491,0,9,2
128.0,491,0,9,2
129.0,491,0,9,2
130.0,491,0,9,2
131.0,491,0,9,2
132.0,491,0,9,2
133.0,491,0,9,2
134.0,491,0,9,2
135.0,491,0,9,2
136.0,491,0,9,2
137.0,491,0,9,2
138.0,491,0,9,2
139.0,491,0,9,2
140.0,491,0,9,2
141.0,491,0,9,2
142.0,491,0,9,2
143.0,491,0,9,2
144.0,491,0,9,2
145.0,491,0,9,2
146.0,491,0,9,2
147.0,491,0,9,2
148.0,491,0,9,2
149.0,491,0,9,2
150.0,491,0,9,2
151.0,491,0,9,2
152.0,491,0,9,2
153.0,491,0,9,2
154.0,491,0,9,2
155.0,491,0,9,2
156.0,491,0,9,2
157.0,491,0,9,2
158.0,491,0,9,2
159.0,491,0,9,2
160.0,491,0,9,2
161.0,491,0,9,2
162.0,491,0,9,2
163.0,491,0,9,2
164.0,491,0,9,2
165.0,491,0,9,2
166.0,491,0,9,2
167.0,491,0,9,2
168.0,491,0,9,2
169.0,491,0,9,2
170.0,491,0,9,2
171.0,491,0,9,2
172.0,491,0,9,2
173.0,491,0,9,2
174.0,491,0,9,2
175.0,491,0,9,2
176.0,491,0,9,2
177.0,491,0,9,2
178.0,491,0,9,2
179.0,491,0,9,2
180.0,491,0,9,2
181.0,491,0,9,2
182.0,491,0,9,2
183.0,491,0,9,2
184.0,491,0,9,2
185.0,491,0,9,2
186.0,491,0,9,2
187.0,491,0,9,2
188.0,491,0,9,2
189.0,491,0,9,2
190.0,491,0,9,2
191.0,491,0,9,2
192.0,491,0,9,2
193.0,491,0,9,2
194.0,491,0,9,2
195.0,491,0,9,2
196.0,491,0,9,2
197.0,491,0,9,2
198.0,491,0,9,2
199.0,491,0,9,2
200.0,491,0,9,2
201.0,491,0,9,2
202.0,491,0,9,2
203.0,491,0,9,2
204.0,491,0,9,2
205.0,491,0,9,2
206.0,491,0,9,2
207.0,491,0,9,2
208.0,491,0,9,2
209.0,491,0,9,2
210.0,491,0,9,2
211.0,491,0,9,2
212.0,491,0,9,2
213.0,491,0,9,2
214.0,491,0,9,2
215.0,491,0,9,2
216.0,491,0,9,2
217.0,491,0,9,2
218.0,491,0,9,2
219.0,491,0,9,2
220.0,491,0,9,2
221.0,491,0,9,2
222.0,491,0,9,2
223.0,491,0,9,2
224.0,491,0,9,2
225.0,491,0,9,2
226.0,491,0,9,2
227.0,491,0,9,2
228.0,491,0,9,2
229.0,491,0,9,2
230.0,491,0,9,2
231.0,491,0,9,2
232.0,491,0,9,2
233.0,491,0,9,2
234.0,491,0,9,2
235.0,491,0,9,2
236.0,491,0,9,2
237.0,491,0,9,2
238.0,491,0,9,2
239.0,491,0,9,2
240.0,491,0,9,2
241.0,491,0,9,2
242.0,491,0,9,2
243.0,491,0,9,2
244.0,491,0,9,2
245.0,491,0,9,2
246.0,491,0,9,2
247.0,491,0,9,2
248.0,491,0,9,2
249.0,491,0,9,2
250.0,491,0,9,2
251.0,491,0,9,2
252.0,491,0,9,2
253.0,491,0,9,2
254.0,491,0,9,2
255.0,491,0,9,2
256.0,491,0,9,2
257.0,491,0,9,2
258.0,491,0,9,2
259.0,491,0,9,2
260.0,491,0,9,2
261.0,491,0,9,2
262.0,491,0,9,2
263.0,491,0,9,2
264.0,491,0,9,2
265.0,491,0,9,2
266.0,491,0,9,2
267.0,491,0,9,2
268.0,491,0,9,2
269.0,491,0,9,2
270.0,491,0,9,2
271.0,491,0,9,2
272.0,491,0,9,2
273.0,491,0,9,2
274.0,491,0,9,2
275.0,491,0,9,2
276.0,491,0,9,2
277.0,491,0,9,2
278.0,491,0,9,2
279.0,491,0,9,2
280.0,491,0,9,2
281.0,491,0,9,2
282.0,491,0,9,2
283.0,491,0,9,2
284.0,491,0,9,2
285.0,491,0,9,2
286.0,491,0,9,2
287.0,491,0,9,2
288.0,491,0,9,2
289.0,491,0,9,2
290.0,491,0,9,2
291.0,491,0,9,2
292.0,491,0,9,2
293.0,491,0,9,2
294.0,491,0,9,2
295.0,491,0,9,2
296.0,491,0,9,2
297.0,491,0,9,2
298.0,491,0,9,2
299.0,491,0,9,2
300.0,491,0,9,2
301.0,491,0,9,2
302.0,491,0,9,2
303.0,491,0,9,2
304.0,491,0,9,2
305.0,491,0,9,2
306.0,491,0,9,2
307.0,491,0,9,2
308.0,491,0,9,2
309.0,491,0,9,2
310.0,491,0,9,2
311.0,491,0,9,2
312.0,491,0,9,2
313.0,491,0,9,2
314.0,491,0,9,2
315.0,491,0,9,2
316.0,491,0,9,2
317.0,491,0,9,2
318.0,491,0,9,2
319.0,491,0,9,2
320.0,491,0,9,2
321.0,491,0,9,2
322.0,491,0,9,2
323.0,491,0,9,2
324.0,491,0,9,2
325.0,491,0,9,2
326.0,491,0,9,2
327.0,491,0,9,2
328.0,491,0,9,2
329.0,491,0,9,2
330.0,491,0,9,2
331.0,491,0,9,2
332.0,491,0,9,2
333.0,491,0,9,2
334.0,491,0,9,2
335.0,491,0,9,2
336.0,491,0,9,2
337.0,491,0,9,2
338.0,491,0,9,2
339.0,491,0,9,2
340.0,491,0,9,2
341.0,491,0,9,2
342.0,491,0,9,2
343.0,491,0,9,2
344.0,491,0,9,2
345.0,491,0,9,2
346.0,491,0,9,2
347.0,491,0,9,2
348.0,491,0,9,2
349.0,491,0,9,2
350.0,491,0,9,2
351.0,491,0,9,2
352.0,491,0,9,2
353.0,491,0,9,2
354.0,491,0,9,2
355.0,491,0,9,2
356.0,491,0,9,2
357.0,491,0,9,2
358.0,491,0,9,2
359.0,491,0,9,2
360.0,491,0,9,2
361.0,491,0,9,2
362.0,491,0,9,2
363.0,491,0,9,2
364.0,491,0,9,2
365.0,491,0,9,2
366.0,491,0,9,2
367.0,491,0,9,2
368.0,491,0,9,2
369.0,491,0,9,2
370.0,491,0,9,2
371.0,491,0,9,2
372.0,491,0,9,2
373.0,491,0,9,2
374.0,491,0,9,2
375.0,491,0,9,2
376.0,491,0,9,2
377.0,491,0,9,2
378.0,491,0,9,2
379.0,491,0,9,2
380.0,491,0,9,2
381.0,491,0,9,2
382.0,491,0,9,2
383.0,491,0,9,2
384.0,491,0,9,2
385.0,491,0,9,2
386.0,491,0,9,2
387.0,491,0,9,2
388.0,491,0,9,2
389.0,491,0,9,2
390.0,491,0,9,2
391.0,491,0,9,2
392.0,491,0,9,2
393.0,491,0,9,2
394.0,491,0,9,2
395.0,491,0,9,2
396.0,491,0,9,2
397.0,491,0,9,2
398.0,491,0,9,2
399.0,491,0,9,2
400.0,491,0,9,2
