Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.6,499.2,0.2,0.5
0.0,3.4,498.4,0.2,1.0
0.0,4.4,497.4,0.2,1.5
0.0,4.8,497.0,0.2,2.0
0.0,5.2,496.6,0.2,2.5
0.0,6.0,495.8,0.2,3.0
0.0,7.0,494.8,0.2,3.5
0.0,7.8,493.8,0.4,4.0
0.0,8.2,493.4,0.4,4.5
0.0,8.8,492.8,0.4,5.0
0.0,9.4,492.2,0.4,5.5
0.0,9.8,491.8,0.4,6.0
0.0,10.2,491.4,0.4,6.5
0.0,10.4,491.2,0.4,7.0
0.0,11.0,490.4,0.6,7.5
0.0,11.2,490.2,0.6,8.0
0.0,10.8,490.2,1.0,8.5
0.0,11.2,489.8,1.0,9.0
0.0,11.4,489.6,1.0,9.5
0.0,11.6,489.4,1.0,10.0
0.0,11.8,489.2,1.0,10.5
0.0,12.2,488.8,1.0,11.0
0.0,12.6,488.4,1.0,11.5
0.0,12.6,488.4,1.0,12.0
0.0,12.6,488.4,1.0,12.5
0.0,12.8,488.2,1.0,13.0
0.0,12.8,488.2,1.0,13.5
0.0,13.0,488.0,1.0,14.0
0.0,13.6,487.4,1.0,14.5
0.0,14.2,486.8,1.0,15.0
0.0,14.6,486.4,1.0,15.5
0.0,15.2,485.8,1.0,16.0
0.0,15.4,485.6,1.0,16.5
0.0,15.8,485.2,1.0,17.0
0.0,15.8,485.2,1.0,17.5
0.0,15.8,485.2,1.0,18.0
0.2,15.8,485.0,1.0,18.5
0.2,16.0,484.8,1.0,19.0
0.4,15.8,484.8,1.0,19.5
0.6,15.8,484.6,1.0,20.0
0.8,16.0,484.2,1.0,20.5
0.8,15.8,484.2,1.2,21.0
0.8,14.6,484.2,2.4,21.5
1.2,13.6,484.0,3.2,22.0
1.2,13.2,484.0,3.6,22.5
1.2,12.6,484.0,4.2,23.0
1.2,12.2,484.0,4.6,23.5
1.4,11.4,484.0,5.2,24.0
1.4,11.2,483.8,5.6,24.5
1.4,10.4,483.8,6.4,25.0
