Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.4,499.6,0.0,0.5
0.0,2.8,499.2,0.0,1.0
0.0,3.2,498.8,0.0,1.5
0.0,3.2,498.8,0.0,2.0
0.0,3.4,498.6,0.0,2.5
0.0,3.4,498.6,0.0,3.0
0.0,3.4,498.6,0.0,3.5
0.0,4.2,497.8,0.0,4.0
0.0,4.2,497.8,0.0,4.5
0.0,5.0,497.0,0.0,5.0
0.0,5.6,496.4,0.0,5.5
0.0,6.0,496.0,0.0,6.0
0.0,6.4,495.6,0.0,6.5
0.0,7.2,494.8,0.0,7.0
0.0,7.6,494.4,0.0,7.5
0.0,8.4,493.6,0.0,8.0
0.0,9.4,492.6,0.0,8.5
0.0,9.6,492.4,0.0,9.0
0.0,10.2,491.8,0.0,9.5
0.0,10.4,491.6,0.0,10.0
0.0,11.0,491.0,0.0,10.5
0.0,11.8,490.2,0.0,11.0
0.0,12.8,489.2,0.0,11.5
0.0,14.2,487.8,0.0,12.0
0.0,14.6,487.2,0.2,12.5
0.0,15.2,486.6,0.2,13.0
0.0,15.8,486.0,0.2,13.5
0.0,16.4,485.4,0.2,14.0
0.0,17.0,484.8,0.2,14.5
0.0,17.8,484.0,0.2,15.0
0.0,19.2,482.6,0.2,15.5
0.0,20.0,481.8,0.2,16.0
0.0,21.2,480.6,0.2,16.5
0.0,22.0,479.8,0.2,17.0
0.0,23.4,478.4,0.2,17.5
0.0,24.0,477.8,0.2,18.0
0.2,24.8,476.8,0.2,18.5
0.4,25.8,475.6,0.2,19.0
0.4,26.6,474.8,0.2,19.5
0.4,27.8,473.6,0.2,20.0
0.6,28.4,472.8,0.2,20.5
0.6,30.2,471.0,0.2,21.0
0.6,31.4,469.6,0.4,21.5
0.6,33.2,467.8,0.4,22.0
0.8,33.6,466.8,0.8,22.5
0.8,34.6,465.2,1.4,23.0
0.8,35.6,463.8,1.8,23.5
0.8,37.0,462.2,2.0,24.0
0.8,37.2,461.4,2.6,24.5
1.6,37.8,460.0,2.6,25.0
1.8,39.4,458.2,2.6,25.5
1.8,41.0,456.4,2.8,26.0
1.8,42.2,455.0,3.0,26.5
2.0,43.6,453.2,3.2,27.0
2.0,44.8,451.4,3.8,27.5
2.6,44.6,450.4,4.4,28.0
2.6,45.6,448.8,5.0,28.5
3.0,47.2,446.8,5.0,29.0
3.0,49.8,444.0,5.2,29.5
3.0,51.0,442.6,5.4,30.0
3.2,52.6,440.6,5.6,30.5
3.6,53.4,438.8,6.2,31.0
3.8,55.0,436.6,6.6,31.5
4.4,55.6,435.2,6.8,32.0
4.4,56.8,433.6,7.2,32.5
4.4,57.4,432.4,7.8,33.0
4.6,59.2,430.4,7.8,33.5
4.6,60.6,428.2,8.6,34.0
5.2,61.4,426.0,9.4,34.5
5.6,62.6,424.2,9.6,35.0
5.8,64.2,421.8,10.2,35.5
6.0,64.2,420.6,11.2,36.0
6.4,66.0,418.0,11.6,36.5
6.6,68.0,415.6,11.8,37.0
7.0,69.0,413.6,12.4,37.5
7.4,69.8,411.4,13.4,38.0
7.6,72.0,408.0,14.4,38.5
7.6,72.8,405.8,15.8,39.0
8.4,75.8,401.8,16.0,39.5
8.4,78.8,398.4,16.4,40.0
8.6,80.8,395.8,16.8,40.5
8.8,80.8,394.2,18.2,41.0
9.0,83.2,391.0,18.8,41.5
9.4,85.4,388.2,19.0,42.0
10.4,86.6,385.6,19.4,42.5
11.4,86.6,383.8,20.2,43.0
11.4,88.2,381.4,21.0,43.5
12.0,90.2,378.0,21.8,44.0
