"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,499,3,0,0
2.0,498,4,0,0
3.0,497,5,0,0
4.0,497,5,0,0
5.0,495,7,0,0
6.0,494,8,0,0
7.0,492,10,0,0
8.0,492,10,0,0
9.0,492,10,0,0
10.0,492,10,0,0
11.0,491,10,1,0
12.0,490,11,1,0
13.0,490,11,1,0
14.0,489,12,1,0
15.0,489,12,1,0
16.0,488,13,1,0
17.0,487,14,1,0
18.0,486,15,1,0
19.0,486,15,1,0
20.0,484,17,1,0
21.0,484,17,1,0
22.0,483,18,1,0
23.0,482,19,1,0
24.0,481,20,1,0
25.0,479,22,1,0
26.0,477,24,1,0
27.0,477,24,1,0
28.0,473,28,1,0
29.0,473,28,1,0
30.0,473,28,1,0
31.0,471,30,1,0
32.0,469,32,1,0
33.0,466,35,1,0
34.0,464,37,1,0
35.0,461,40,1,0
36.0,460,41,1,0
37.0,460,41,1,0
38.0,459,42,1,0
39.0,459,42,1,0
40.0,456,45,1,0
41.0,456,45,1,0
42.0,453,48,1,0
43.0,450,51,1,0
44.0,449,52,1,0
45.0,449,52,1,0
46.0,448,53,1,0
47.0,446,55,1,0
48.0,446,55,1,0
49.0,445,56,1,0
50.0,444,55,1,2
51.0,443,55,1,3
52.0,441,57,1,3
53.0,439,59,1,3
54.0,437,61,1,3
55.0,436,62,1,3
56.0,434,64,1,3
57.0,433,63,2,4
58.0,429,67,2,4
59.0,427,66,5,4
60.0,425,67,6,4
61.0,423,69,6,4
62.0,420,71,6,5
63.0,419,71,7,5
64.0,419,69,8,6
65.0,419,68,9,6
66.0,419,68,9,6
67.0,419,67,9,7
68.0,414,72,9,7
69.0,414,72,9,7
70.0,413,71,10,8
71.0,412,70,10,10
72.0,411,70,10,11
73.0,407,73,11,11
74.0,405,74,11,12
75.0,403,75,11,13
76.0,399,78,12,13
77.0,396,80,13,13
78.0,395,79,15,13
79.0,391,81,17,13
80.0,388,81,19,14
81.0,383,82,23,14
82.0,378,86,23,15
83.0,375,86,25,16
84.0,374,87,25,16
85.0,372,85,28,17
86.0,372,82,31,17
87.0,370,82,32,18
88.0,369,81,34,18
89.0,367,79,38,18
90.0,367,77,39,19
91.0,367,76,40,19
92.0,367,76,40,19
93.0,366,76,40,20
94.0,365,74,42,21
95.0,363,74,43,22
96.0,361,71,47,23
97.0,359,73,47,23
98.0,356,75,47,24
99.0,354,77,47,24
100.0,354,76,48,24
101.0,350,80,48,24
102.0,348,82,48,24
103.0,345,83,50,24
104.0,343,85,50,24
105.0,342,84,51,25
106.0,340,82,54,26
107.0,337,83,56,26
108.0,335,83,56,28
109.0,332,81,60,29
110.0,330,78,64,30
111.0,329,78,65,30
112.0,328,77,66,31
113.0,325,76,70,31
114.0,325,76,70,31
115.0,323,77,71,31
116.0,320,78,72,32
117.0,319,77,73,33
118.0,318,74,77,33
119.0,315,76,77,34
120.0,314,76,78,34
121.0,313,75,80,34
122.0,312,76,80,34
123.0,309,76,82,35
