"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,500,2,0,0
2.0,500,2,0,0
3.0,500,2,0,0
4.0,500,2,0,0
5.0,500,2,0,0
6.0,499,3,0,0
7.0,499,3,0,0
8.0,499,3,0,0
9.0,498,4,0,0
10.0,498,4,0,0
11.0,498,4,0,0
12.0,497,5,0,0
13.0,497,5,0,0
14.0,497,5,0,0
15.0,496,6,0,0
16.0,495,7,0,0
17.0,495,7,0,0
18.0,495,7,0,0
19.0,495,7,0,0
20.0,495,7,0,0
21.0,495,7,0,0
22.0,495,7,0,0
23.0,493,9,0,0
24.0,492,10,0,0
25.0,492,10,0,0
26.0,491,11,0,0
27.0,491,11,0,0
28.0,490,12,0,0
29.0,488,14,0,0
30.0,487,15,0,0
31.0,487,15,0,0
32.0,485,17,0,0
33.0,485,17,0,0
34.0,481,21,0,0
35.0,481,21,0,0
36.0,481,21,0,0
37.0,481,20,0,1
38.0,481,19,1,1
39.0,481,19,1,1
40.0,481,19,1,1
41.0,479,21,1,1
42.0,476,21,3,2
43.0,474,22,4,2
44.0,473,23,4,2
45.0,472,21,7,2
46.0,471,22,7,2
47.0,471,19,10,2
48.0,471,16,13,2
49.0,471,15,14,2
50.0,471,15,14,2
51.0,470,16,14,2
52.0,469,17,14,2
53.0,469,17,14,2
54.0,469,17,14,2
55.0,468,17,15,2
56.0,468,16,16,2
57.0,466,18,16,2
58.0,465,19,16,2
59.0,464,20,16,2
60.0,464,20,16,2
61.0,464,20,16,2
62.0,463,21,16,2
63.0,462,20,16,4
64.0,462,20,16,4
65.0,460,22,16,4
66.0,459,23,16,4
67.0,457,25,16,4
68.0,457,25,16,4
69.0,457,25,16,4
70.0,457,23,18,4
71.0,456,24,18,4
72.0,456,23,18,5
73.0,455,24,18,5
74.0,455,23,19,5
75.0,455,22,20,5
76.0,455,22,20,5
77.0,455,22,20,5
78.0,454,22,21,5
79.0,453,23,21,5
80.0,452,24,21,5
81.0,451,24,22,5
82.0,451,24,22,5
83.0,451,24,22,5
84.0,450,25,22,5
85.0,450,24,23,5
86.0,450,24,23,5
87.0,450,24,23,5
88.0,450,24,23,5
89.0,449,25,23,5
90.0,448,25,24,5
91.0,448,24,25,5
92.0,448,24,25,5
93.0,447,22,27,6
94.0,446,23,27,6
95.0,446,23,27,6
96.0,445,22,29,6
97.0,445,22,29,6
98.0,445,19,32,6
99.0,444,20,32,6
100.0,444,19,32,7
101.0,443,18,32,9
102.0,442,19,32,9
103.0,441,20,32,9
104.0,441,19,33,9
105.0,441,19,33,9
106.0,441,19,33,9
107.0,439,21,33,9
108.0,438,22,33,9
109.0,438,22,33,9
110.0,438,22,33,9
111.0,438,22,33,9
112.0,438,22,33,9
113.0,438,21,34,9
114.0,438,20,34,10
115.0,437,21,34,10
116.0,436,22,34,10
117.0,432,26,34,10
118.0,430,28,34,10
119.0,429,29,34,10
120.0,429,29,34,10
121.0,428,29,35,10
122.0,426,30,36,10
123.0,425,31,36,10
124.0,422,34,36,10
125.0,419,36,36,11
126.0,417,33,41,11
127.0,414,34,43,11
128.0,414,33,44,11
129.0,414,32,45,11
130.0,411,34,46,11
131.0,409,35,47,11
132.0,407,36,48,11
133.0,404,39,48,11
134.0,399,42,49,12
135.0,397,44,49,12
136.0,393,47,50,12
137.0,390,49,50,13
138.0,386,53,50,13
139.0,384,55,50,13
140.0,382,54,52,14
141.0,381,54,53,14
142.0,380,54,53,15
143.0,377,56,54,15
144.0,374,59,54,15
145.0,370,61,55,16
146.0,369,61,56,16
147.0,367,62,56,17
148.0,364,65,56,17
149.0,363,66,56,17
150.0,362,67,56,17
151.0,359,69,56,18
152.0,359,68,57,18
153.0,358,67,58,19
154.0,355,70,58,19
155.0,351,74,58,19
156.0,347,78,58,19
157.0,347,77,58,20
158.0,345,79,58,20
159.0,344,80,58,20
160.0,344,80,58,20
161.0,343,81,58,20
162.0,341,82,58,21
163.0,340,83,58,21
164.0,339,84,58,21
165.0,338,83,59,22
166.0,337,82,59,24
167.0,335,79,61,27
168.0,334,78,63,27
169.0,333,78,64,27
170.0,333,77,64,28
171.0,332,77,65,28
172.0,332,76,65,29
173.0,332,75,65,30
174.0,332,75,65,30
175.0,331,76,65,30
176.0,330,75,67,30
177.0,329,75,68,30
178.0,328,73,68,33
179.0,327,73,68,34
180.0,326,74,68,34
181.0,325,74,69,34
182.0,323,74,70,35
183.0,318,77,72,35
184.0,317,75,74,36
185.0,314,76,75,37
186.0,312,77,76,37
187.0,311,77,76,38
188.0,308,79,76,39
189.0,308,76,76,42
190.0,308,75,77,42
191.0,308,75,77,42
192.0,307,75,78,42
193.0,307,71,81,43
194.0,307,69,82,44
195.0,306,68,84,44
196.0,306,65,85,46
197.0,306,64,86,46
198.0,305,64,86,47
199.0,300,65,89,48
200.0,298,67,89,48
201.0,297,63,94,48
202.0,297,61,95,49
203.0,295,61,97,49
204.0,293,63,97,49
205.0,293,58,101,50
206.0,293,56,103,50
207.0,293,55,104,50
208.0,293,54,105,50
209.0,292,53,107,50
210.0,292,50,110,50
211.0,291,51,110,50
212.0,290,49,112,51
213.0,290,47,114,51
214.0,287,48,115,52
215.0,287,45,118,52
216.0,284,46,120,52
217.0,283,44,122,53
218.0,283,43,123,53
219.0,281,41,126,54
220.0,280,42,126,54
221.0,279,41,127,55
222.0,278,42,127,55
223.0,276,42,129,55
224.0,275,41,131,55
225.0,275,41,131,55
226.0,274,40,132,56
227.0,274,38,134,56
228.0,274,38,134,56
229.0,274,38,134,56
230.0,272,38,136,56
231.0,272,36,137,57
232.0,272,35,138,57
233.0,272,34,139,57
234.0,272,33,139,58
235.0,272,32,140,58
236.0,272,32,140,58
237.0,271,33,140,58
238.0,270,32,141,59
239.0,270,30,142,60
240.0,269,30,143,60
241.0,269,28,144,61
242.0,268,29,144,61
243.0,267,30,144,61
244.0,267,29,144,62
245.0,267,29,144,62
246.0,265,28,146,63
247.0,264,29,146,63
248.0,263,28,148,63
249.0,263,28,148,63
250.0,263,28,148,63
251.0,263,27,148,64
252.0,263,26,148,65
253.0,263,26,148,65
254.0,263,25,149,65
255.0,263,25,149,65
256.0,263,25,149,65
257.0,261,26,150,65
258.0,260,26,151,65
259.0,258,28,151,65
260.0,257,28,151,66
261.0,256,29,151,66
262.0,254,29,152,67
263.0,252,31,152,67
264.0,252,31,152,67
265.0,252,30,153,67
266.0,252,29,154,67
267.0,252,29,154,67
268.0,251,29,154,68
269.0,250,29,155,68
270.0,249,30,155,68
271.0,249,30,155,68
272.0,249,30,155,68
273.0,248,31,155,68
274.0,248,30,156,68
275.0,247,31,156,68
276.0,247,30,156,69
277.0,246,30,156,70
278.0,243,33,156,70
279.0,241,34,156,71
280.0,238,36,157,71
281.0,236,38,157,71
282.0,234,39,158,71
283.0,234,38,159,71
284.0,233,39,159,71
285.0,232,40,159,71
286.0,231,41,159,71
287.0,231,41,159,71
288.0,231,40,159,72
289.0,230,41,159,72
290.0,230,41,159,72
291.0,229,42,159,72
292.0,227,44,159,72
293.0,227,43,160,72
294.0,227,43,160,72
295.0,227,43,160,72
296.0,227,43,160,72
297.0,227,43,160,72
298.0,226,43,161,72
299.0,225,42,162,73
300.0,225,41,163,73
301.0,225,40,163,74
302.0,224,40,163,75
303.0,224,38,165,75
304.0,223,37,166,76
305.0,221,39,166,76
306.0,221,38,167,76
307.0,221,38,167,76
308.0,221,38,167,76
309.0,221,37,168,76
310.0,221,36,169,76
311.0,221,36,169,76
312.0,220,37,169,76
313.0,220,36,169,77
314.0,218,36,169,79
315.0,218,35,169,80
316.0,218,35,169,80
317.0,218,35,169,80
318.0,218,35,169,80
319.0,218,35,169,80
320.0,218,35,169,80
321.0,218,35,169,80
322.0,217,34,170,81
323.0,217,34,170,81
324.0,217,31,173,81
325.0,217,29,174,82
326.0,217,28,174,83
327.0,217,25,176,84
328.0,217,25,176,84
329.0,217,24,176,85
330.0,217,22,177,86
331.0,217,20,178,87
332.0,216,20,178,88
333.0,216,20,178,88
334.0,216,19,179,88
335.0,216,19,179,88
336.0,216,19,179,88
337.0,216,19,179,88
338.0,216,19,179,88
339.0,216,18,179,89
340.0,216,15,182,89
341.0,216,15,182,89
342.0,216,15,182,89
343.0,216,15,182,89
344.0,216,14,183,89
345.0,216,12,185,89
346.0,216,12,185,89
347.0,216,12,185,89
348.0,216,11,186,89
349.0,216,11,186,89
350.0,216,11,186,89
351.0,216,9,188,89
352.0,216,8,188,90
353.0,216,8,188,90
354.0,216,7,189,90
355.0,216,7,189,90
356.0,216,7,189,90
357.0,216,7,189,90
358.0,216,6,190,90
359.0,216,6,190,90
360.0,216,6,190,90
361.0,216,6,190,90
362.0,216,5,190,91
363.0,216,5,190,91
364.0,216,4,190,92
365.0,216,4,190,92
366.0,216,4,190,92
367.0,216,4,190,92
368.0,216,3,191,92
369.0,216,2,192,92
370.0,216,2,192,92
371.0,216,2,192,92
372.0,216,2,192,92
373.0,216,2,192,92
374.0,216,2,192,92
375.0,216,2,192,92
376.0,216,2,192,92
377.0,216,2,192,92
378.0,216,2,192,92
379.0,216,2,192,92
380.0,216,1,193,92
381.0,216,1,193,92
382.0,216,1,193,92
383.0,216,1,193,92
384.0,216,1,193,92
385.0,216,1,193,92
386.0,216,1,193,92
387.0,216,1,193,92
388.0,216,1,193,92
389.0,216,1,193,92
390.0,216,1,193,92
391.0,216,1,193,92
392.0,216,1,193,92
393.0,216,1,193,92
394.0,216,0,194,92
395.0,216,0,194,92
396.0,216,0,194,92
397.0,216,0,194,92
398.0,216,0,194,92
399.0,216,0,194,92
400.0,216,0,194,92
