Dead_Count,Infected_Count,Normal_Count,Recovered_Count,tick
0.0,2.2,499.8,0.0,0.5
0.0,2.0,499.8,0.2,1.0
0.0,2.2,499.6,0.2,1.5
0.0,2.4,499.4,0.2,2.0
0.0,2.6,499.0,0.4,2.5
0.0,2.8,498.8,0.4,3.0
0.0,3.6,498.0,0.4,3.5
0.0,3.6,498.0,0.4,4.0
0.0,4.0,497.6,0.4,4.5
0.0,4.6,497.0,0.4,5.0
0.0,5.0,496.6,0.4,5.5
0.0,5.6,496.0,0.4,6.0
0.0,6.2,495.4,0.4,6.5
0.0,6.4,495.2,0.4,7.0
0.0,7.4,494.2,0.4,7.5
0.0,8.0,493.6,0.4,8.0
0.0,8.6,492.8,0.6,8.5
0.0,8.8,492.6,0.6,9.0
0.0,9.4,492.0,0.6,9.5
0.0,9.8,491.6,0.6,10.0
0.0,10.8,490.6,0.6,10.5
0.0,11.4,490.0,0.6,11.0
0.0,12.4,489.0,0.6,11.5
0.0,13.2,488.2,0.6,12.0
0.0,14.0,487.4,0.6,12.5
0.0,14.2,486.8,1.0,13.0
0.0,14.8,486.2,1.0,13.5
0.0,15.4,485.4,1.2,14.0
0.0,16.6,484.0,1.4,14.5
0.0,17.2,482.8,2.0,15.0
0.0,18.4,481.6,2.0,15.5
0.0,19.8,480.2,2.0,16.0
0.0,21.4,478.6,2.0,16.5
0.0,23.0,477.0,2.0,17.0
0.0,24.4,475.6,2.0,17.5
0.0,25.2,474.6,2.2,18.0
0.2,26.2,473.2,2.4,18.5
0.2,27.4,471.6,2.8,19.0
0.2,28.4,470.6,2.8,19.5
0.2,29.8,468.8,3.2,20.0
0.2,31.6,466.8,3.4,20.5
0.4,31.6,465.2,4.8,21.0
0.4,32.4,463.6,5.6,21.5
0.4,33.6,462.0,6.0,22.0
0.4,33.8,460.8,7.0,22.5
0.8,34.6,459.6,7.0,23.0
1.0,34.0,458.8,8.2,23.5
1.0,33.6,458.0,9.4,24.0
1.0,34.4,457.0,9.6,24.5
1.0,34.8,456.4,9.8,25.0
1.0,36.2,454.2,10.6,25.5
1.0,37.4,452.8,10.8,26.0
1.6,37.2,452.2,11.0,26.5
1.6,38.0,451.0,11.4,27.0
1.6,38.6,449.8,12.0,27.5
1.6,39.4,448.4,12.6,28.0
1.6,41.2,446.2,13.0,28.5
1.6,42.6,444.4,13.4,29.0
1.6,44.4,442.6,13.4,29.5
2.0,45.8,440.8,13.4,30.0
2.8,46.6,439.2,13.4,30.5
3.0,48.0,437.6,13.4,31.0
3.6,49.2,435.8,13.4,31.5
3.8,50.2,433.8,14.2,32.0
3.8,51.4,431.8,15.0,32.5
4.2,51.8,430.0,16.0,33.0
4.2,53.2,428.0,16.6,33.5
4.6,53.2,426.4,17.8,34.0
4.8,53.8,425.2,18.2,34.5
5.2,54.8,423.4,18.6,35.0
5.4,56.2,421.6,18.8,35.5
5.8,57.2,420.2,18.8,36.0
6.4,57.6,419.0,19.0,36.5
6.8,57.6,417.8,19.8,37.0
6.8,59.6,415.6,20.0,37.5
7.0,59.8,414.6,20.6,38.0
7.4,60.6,412.8,21.2,38.5
7.8,60.4,412.0,21.8,39.0
8.0,60.6,410.6,22.8,39.5
8.0,61.2,409.4,23.4,40.0
8.8,60.8,407.6,24.8,40.5
9.0,61.8,405.8,25.4,41.0
9.6,63.2,403.8,25.4,41.5
10.0,64.2,401.2,26.6,42.0
10.6,63.4,399.6,28.4,42.5
11.0,62.0,399.2,29.8,43.0
11.6,62.0,397.2,31.2,43.5
12.2,62.0,396.2,31.6,44.0
12.2,61.8,394.6,33.4,44.5
13.4,60.4,393.0,35.2,45.0
13.8,60.6,391.8,35.8,45.5
14.2,62.0,389.0,36.8,46.0
15.0,61.4,386.8,38.8,46.5
15.4,61.6,385.2,39.8,47.0
15.6,63.6,382.4,40.4,47.5
16.2,65.2,379.6,41.0,48.0
16.4,65.6,377.8,42.2,48.5
17.0,66.2,375.0,43.8,49.0
18.0,68.6,371.2,44.2,49.5
18.6,69.6,367.8,46.0,50.0
19.0,71.0,364.2,47.8,50.5
19.0,74.6,360.0,48.4,51.0
19.4,76.4,357.4,48.8,51.5
19.8,76.2,354.2,51.8,52.0
20.6,77.4,351.2,52.8,52.5
21.0,78.6,348.2,54.2,53.0
21.0,80.0,345.2,55.8,53.5
21.0,81.8,342.6,56.6,54.0
21.0,83.4,340.0,57.6,54.5
21.4,84.2,337.6,58.8,55.0
22.0,85.8,334.8,59.4,55.5
22.2,88.0,331.4,60.4,56.0
22.4,89.2,328.8,61.6,56.5
22.8,90.0,325.6,63.6,57.0
23.2,92.4,321.8,64.6,57.5
23.4,95.0,318.2,65.4,58.0
24.0,96.2,315.4,66.4,58.5
24.6,99.0,311.4,67.0,59.0
25.2,100.8,308.8,67.2,59.5
26.0,100.6,305.4,70.0,60.0
26.4,100.2,303.2,72.2,60.5
27.0,100.0,300.6,74.4,61.0
27.8,102.2,296.6,75.4,61.5
27.8,104.0,293.4,76.8,62.0
28.2,105.2,290.0,78.6,62.5
29.0,103.6,288.4,81.0,63.0
29.4,104.6,285.4,82.6,63.5
29.4,105.6,282.0,85.0,64.0
29.6,105.0,280.4,87.0,64.5
30.0,104.8,277.8,89.4,65.0
30.2,104.6,275.8,91.4,65.5
30.4,104.2,273.6,93.8,66.0
31.2,104.8,269.6,96.4,66.5
31.8,105.8,266.4,98.0,67.0
33.2,107.0,263.0,98.8,67.5
33.2,108.2,260.2,100.4,68.0
34.6,107.6,257.6,102.2,68.5
35.2,106.8,255.2,104.8,69.0
36.0,107.4,252.6,106.0,69.5
36.6,106.8,250.0,108.6,70.0
37.6,106.2,248.6,109.6,70.5
38.6,105.2,246.8,111.4,71.0
39.0,105.0,245.4,112.6,71.5
40.0,104.2,243.8,114.0,72.0
41.2,104.2,241.6,115.0,72.5
42.0,104.2,239.0,116.8,73.0
43.0,105.0,236.2,117.8,73.5
44.2,106.6,232.2,119.0,74.0
45.8,106.6,229.0,120.6,74.5
46.8,105.8,226.2,123.2,75.0
47.0,107.0,223.2,124.8,75.5
47.8,107.4,220.0,126.8,76.0
48.6,106.6,218.6,128.2,76.5
50.2,107.6,215.6,128.6,77.0
51.0,109.6,212.8,128.6,77.5
52.0,110.6,209.8,129.6,78.0
53.2,109.2,208.6,131.0,78.5
54.4,108.4,206.8,132.4,79.0
55.0,109.2,204.8,133.0,79.5
55.8,110.2,202.4,133.6,80.0
56.6,110.2,200.8,134.4,80.5
57.8,109.8,199.0,135.4,81.0
58.8,107.6,198.2,137.4,81.5
59.6,107.0,196.6,138.8,82.0
60.8,105.6,195.0,140.6,82.5
62.0,103.8,194.0,142.2,83.0
63.0,104.0,192.2,142.8,83.5
63.2,103.2,190.6,145.0,84.0
64.0,102.2,188.6,147.2,84.5
65.2,100.6,187.2,149.0,85.0
66.6,98.4,186.6,150.4,85.5
67.4,98.0,185.6,151.0,86.0
69.4,98.0,183.2,151.4,86.5
70.2,97.0,181.6,153.2,87.0
70.8,96.0,180.8,154.4,87.5
71.2,93.8,180.4,156.6,88.0
71.8,91.6,179.4,159.2,88.5
73.0,89.8,179.0,160.2,89.0
73.8,89.4,177.6,161.2,89.5
73.8,89.2,175.8,163.2,90.0
73.8,88.4,175.0,164.8,90.5
75.2,87.0,174.2,165.6,91.0
75.8,86.8,172.8,166.6,91.5
76.8,86.0,171.0,168.2,92.0
77.6,84.4,169.8,170.2,92.5
78.2,84.0,168.6,171.2,93.0
79.8,82.6,168.0,171.6,93.5
81.0,81.2,167.2,172.6,94.0
82.0,79.6,166.8,173.6,94.5
82.6,77.2,166.8,175.4,95.0
83.0,76.2,166.6,176.2,95.5
83.4,75.4,166.0,177.2,96.0
83.8,73.6,166.0,178.6,96.5
85.2,71.4,165.6,179.8,97.0
86.2,69.4,165.4,181.0,97.5
87.2,67.4,165.2,182.2,98.0
87.8,66.6,164.2,183.4,98.5
88.6,65.0,164.0,184.4,99.0
89.0,64.6,163.0,185.4,99.5
90.2,63.4,162.2,186.2,100.0
90.6,61.4,161.8,188.2,100.5
91.2,59.0,161.8,190.0,101.0
91.6,57.8,161.4,191.2,101.5
92.6,56.8,161.0,191.6,102.0
93.4,55.0,160.6,193.0,102.5
94.0,53.0,160.4,194.6,103.0
94.6,51.4,160.2,195.8,103.5
95.4,50.0,160.0,196.6,104.0
95.6,49.4,159.8,197.2,104.5
96.0,47.6,159.8,198.6,105.0
96.8,46.0,159.4,199.8,105.5
97.4,44.6,159.2,200.8,106.0
98.0,42.8,159.2,202.0,106.5
98.8,40.8,158.6,203.8,107.0
99.2,40.0,158.4,204.4,107.5
99.6,38.8,157.6,206.0,108.0
100.2,37.4,157.4,207.0,108.5
100.4,34.8,157.4,209.4,109.0
100.6,33.6,157.0,210.8,109.5
101.4,31.2,156.8,212.6,110.0
101.6,31.0,156.4,213.0,110.5
102.2,29.8,156.2,213.8,111.0
102.4,28.4,155.6,215.6,111.5
103.6,25.8,155.2,217.4,112.0
103.8,25.0,155.0,218.2,112.5
104.8,23.4,154.8,219.0,113.0
105.0,21.8,154.8,220.4,113.5
105.0,22.0,154.6,220.4,114.0
105.8,21.0,154.6,220.6,114.5
106.0,20.6,154.2,221.2,115.0
106.2,19.4,154.2,222.2,115.5
106.6,18.2,154.2,223.0,116.0
107.0,17.4,154.2,223.4,116.5
107.4,16.4,154.2,224.0,117.0
107.6,15.6,154.2,224.6,117.5
107.6,15.2,154.2,225.0,118.0
107.6,15.2,154.0,225.2,118.5
108.0,14.2,153.8,226.0,119.0
108.4,13.0,153.6,227.0,119.5
108.6,12.6,153.4,227.4,120.0
108.8,12.0,153.2,228.0,120.5
109.0,12.2,152.8,228.0,121.0
109.2,11.8,152.6,228.4,121.5
109.6,11.0,152.6,228.8,122.0
109.6,11.0,152.4,229.0,122.5
109.8,10.8,151.8,229.6,123.0
109.8,10.4,151.6,230.2,123.5
110.0,10.0,151.2,230.8,124.0
110.0,10.0,151.2,230.8,124.5
110.0,10.0,151.2,230.8,125.0
110.2,9.6,151.2,231.0,125.5
110.4,8.8,151.2,231.6,126.0
110.4,8.8,151.2,231.6,126.5
110.4,8.6,151.0,232.0,127.0
110.4,8.4,151.0,232.2,127.5
110.6,8.0,151.0,232.4,128.0
110.6,8.2,150.6,232.6,128.5
110.6,8.0,150.4,233.0,129.0
110.8,8.4,149.8,233.0,129.5
111.0,8.4,149.6,233.0,130.0
111.0,8.6,149.2,233.2,130.5
111.2,8.8,148.4,233.6,131.0
111.2,9.4,147.8,233.6,131.5
111.2,9.6,147.6,233.6,132.0
111.2,9.4,147.6,233.8,132.5
111.2,9.2,147.6,234.0,133.0
111.2,9.0,147.6,234.2,133.5
111.4,9.0,147.4,234.2,134.0
111.4,8.8,147.2,234.6,134.5
111.4,8.8,147.0,234.8,135.0
111.6,8.4,147.0,235.0,135.5
111.8,8.2,147.0,235.0,136.0
111.8,8.6,146.6,235.0,136.5
111.8,8.6,146.4,235.2,137.0
111.8,8.6,146.2,235.4,137.5
112.0,8.8,145.8,235.4,138.0
112.2,9.2,145.2,235.4,138.5
112.2,10.0,144.4,235.4,139.0
112.4,10.2,144.0,235.4,139.5
112.4,10.8,143.2,235.6,140.0
112.4,11.4,142.6,235.6,140.5
112.4,11.8,142.0,235.8,141.0
112.4,11.8,141.8,236.0,141.5
112.4,12.2,141.4,236.0,142.0
112.4,12.4,141.2,236.0,142.5
112.4,12.6,141.0,236.0,143.0
112.6,12.2,141.0,236.2,143.5
112.8,12.2,140.8,236.2,144.0
112.8,12.4,140.6,236.2,144.5
112.8,12.4,140.6,236.2,145.0
112.8,12.6,140.4,236.2,145.5
112.8,13.0,140.0,236.2,146.0
113.0,12.6,140.0,236.4,146.5
113.0,12.6,140.0,236.4,147.0
113.0,12.6,140.0,236.4,147.5
113.0,12.6,140.0,236.4,148.0
113.2,12.2,140.0,236.6,148.5
113.2,12.2,139.8,236.8,149.0
113.4,12.0,139.6,237.0,149.5
113.4,11.8,139.6,237.2,150.0
113.6,11.6,139.6,237.2,150.5
114.0,11.4,139.4,237.2,151.0
114.0,10.8,139.4,237.8,151.5
114.2,10.6,139.2,238.0,152.0
114.2,11.0,138.8,238.0,152.5
114.2,10.8,138.8,238.2,153.0
114.2,10.8,138.8,238.2,153.5
114.2,10.4,138.8,238.6,154.0
114.2,10.0,138.8,239.0,154.5
114.2,9.8,138.8,239.2,155.0
114.2,9.8,138.8,239.2,155.5
114.2,9.8,138.6,239.4,156.0
