"tick","Normal_Count","Infected_Count","Recovered_Count","Dead_Count"
1.0,499,3,0,0
2.0,499,3,0,0
3.0,499,3,0,0
4.0,499,3,0,0
5.0,499,3,0,0
6.0,498,4,0,0
7.0,497,5,0,0
8.0,496,6,0,0
9.0,495,7,0,0
10.0,495,7,0,0
11.0,494,8,0,0
12.0,494,8,0,0
13.0,494,8,0,0
14.0,494,8,0,0
15.0,492,10,0,0
16.0,492,10,0,0
17.0,492,10,0,0
18.0,492,10,0,0
19.0,492,10,0,0
20.0,491,11,0,0
21.0,491,11,0,0
22.0,490,12,0,0
23.0,489,13,0,0
24.0,489,13,0,0
25.0,489,13,0,0
26.0,489,13,0,0
27.0,489,13,0,0
28.0,489,13,0,0
29.0,489,13,0,0
30.0,488,14,0,0
31.0,486,16,0,0
32.0,485,17,0,0
33.0,485,17,0,0
34.0,485,17,0,0
35.0,485,17,0,0
36.0,485,17,0,0
37.0,485,17,0,0
38.0,484,18,0,0
39.0,484,18,0,0
40.0,484,18,0,0
41.0,482,19,0,1
42.0,482,19,0,1
43.0,482,18,1,1
44.0,482,16,2,2
45.0,482,16,2,2
46.0,482,16,2,2
47.0,482,16,2,2
48.0,482,15,3,2
49.0,482,15,3,2
50.0,482,15,3,2
51.0,482,14,4,2
52.0,482,13,4,3
53.0,482,12,5,3
54.0,482,11,6,3
55.0,482,11,6,3
56.0,482,11,6,3
57.0,482,10,7,3
58.0,482,10,7,3
59.0,482,10,7,3
60.0,482,10,7,3
61.0,482,10,7,3
62.0,482,10,7,3
63.0,482,10,7,3
64.0,482,9,8,3
65.0,482,9,8,3
66.0,482,8,9,3
67.0,482,7,9,4
68.0,482,7,9,4
69.0,482,7,9,4
70.0,482,6,10,4
71.0,482,6,10,4
72.0,482,6,10,4
73.0,482,5,11,4
74.0,482,5,11,4
75.0,482,5,11,4
76.0,482,4,11,5
77.0,482,3,12,5
78.0,482,2,13,5
79.0,482,2,13,5
80.0,482,2,13,5
81.0,482,2,13,5
82.0,482,2,13,5
83.0,482,2,13,5
84.0,482,0,15,5
85.0,482,0,15,5
86.0,482,0,15,5
87.0,482,0,15,5
88.0,482,0,15,5
89.0,482,0,15,5
90.0,482,0,15,5
91.0,482,0,15,5
92.0,482,0,15,5
93.0,482,0,15,5
94.0,482,0,15,5
95.0,482,0,15,5
96.0,482,0,15,5
97.0,482,0,15,5
98.0,482,0,15,5
99.0,482,0,15,5
100.0,482,0,15,5
101.0,482,0,15,5
102.0,482,0,15,5
103.0,482,0,15,5
104.0,482,0,15,5
105.0,482,0,15,5
106.0,482,0,15,5
107.0,482,0,15,5
108.0,482,0,15,5
109.0,482,0,15,5
110.0,482,0,15,5
111.0,482,0,15,5
112.0,482,0,15,5
113.0,482,0,15,5
114.0,482,0,15,5
115.0,482,0,15,5
116.0,482,0,15,5
117.0,482,0,15,5
118.0,482,0,15,5
119.0,482,0,15,5
120.0,482,0,15,5
121.0,482,0,15,5
122.0,482,0,15,5
123.0,482,0,15,5
124.0,482,0,15,5
125.0,482,0,15,5
126.0,482,0,15,5
127.0,482,0,15,5
128.0,482,0,15,5
129.0,482,0,15,5
130.0,482,0,15,5
131.0,482,0,15,5
132.0,482,0,15,5
133.0,482,0,15,5
134.0,482,0,15,5
135.0,482,0,15,5
136.0,482,0,15,5
137.0,482,0,15,5
138.0,482,0,15,5
139.0,482,0,15,5
140.0,482,0,15,5
141.0,482,0,15,5
142.0,482,0,15,5
143.0,482,0,15,5
144.0,482,0,15,5
145.0,482,0,15,5
146.0,482,0,15,5
147.0,482,0,15,5
148.0,482,0,15,5
149.0,482,0,15,5
150.0,482,0,15,5
151.0,482,0,15,5
152.0,482,0,15,5
153.0,482,0,15,5
154.0,482,0,15,5
155.0,482,0,15,5
156.0,482,0,15,5
157.0,482,0,15,5
158.0,482,0,15,5
159.0,482,0,15,5
160.0,482,0,15,5
161.0,482,0,15,5
162.0,482,0,15,5
163.0,482,0,15,5
164.0,482,0,15,5
165.0,482,0,15,5
166.0,482,0,15,5
167.0,482,0,15,5
168.0,482,0,15,5
169.0,482,0,15,5
170.0,482,0,15,5
171.0,482,0,15,5
172.0,482,0,15,5
173.0,482,0,15,5
174.0,482,0,15,5
175.0,482,0,15,5
176.0,482,0,15,5
177.0,482,0,15,5
178.0,482,0,15,5
179.0,482,0,15,5
180.0,482,0,15,5
181.0,482,0,15,5
182.0,482,0,15,5
183.0,482,0,15,5
184.0,482,0,15,5
185.0,482,0,15,5
186.0,482,0,15,5
187.0,482,0,15,5
188.0,482,0,15,5
189.0,482,0,15,5
190.0,482,0,15,5
191.0,482,0,15,5
192.0,482,0,15,5
193.0,482,0,15,5
194.0,482,0,15,5
195.0,482,0,15,5
196.0,482,0,15,5
197.0,482,0,15,5
198.0,482,0,15,5
199.0,482,0,15,5
200.0,482,0,15,5
201.0,482,0,15,5
202.0,482,0,15,5
203.0,482,0,15,5
204.0,482,0,15,5
205.0,482,0,15,5
206.0,482,0,15,5
207.0,482,0,15,5
208.0,482,0,15,5
209.0,482,0,15,5
210.0,482,0,15,5
211.0,482,0,15,5
212.0,482,0,15,5
213.0,482,0,15,5
214.0,482,0,15,5
215.0,482,0,15,5
216.0,482,0,15,5
217.0,482,0,15,5
218.0,482,0,15,5
219.0,482,0,15,5
